"day","avg_price","group"
1,1,"Negative"
2,0.994901453071987,"Negative"
3,0.99459461059891,"Negative"
4,0.988049528427868,"Negative"
5,0.986174306103272,"Negative"
6,0.982044773323951,"Negative"
7,0.977876851114439,"Negative"
8,0.987370007695056,"Negative"
9,0.991297961435796,"Negative"
10,0.975499816494827,"Negative"
11,0.979620211634292,"Negative"
12,0.988100659167296,"Negative"
13,0.974783463086621,"Negative"
14,0.976682910394238,"Negative"
15,0.97463671957947,"Negative"
16,0.966762513532159,"Negative"
17,0.945256837762726,"Negative"
18,0.955489731496963,"Negative"
19,0.964650103850915,"Negative"
20,0.964538459843977,"Negative"
21,0.966628362763381,"Negative"
22,0.974534013651331,"Negative"
23,0.971950635065542,"Negative"
24,0.960568328757408,"Negative"
25,0.96404156952119,"Negative"
